ano,epiweek,casos,territory_name
2011,1,0,Rondônia
2011,2,0,Rondônia
2011,3,0,Rondônia
2011,4,0,Rondônia
2011,5,0,Rondônia
2011,6,0,Rondônia
2011,7,1,Rondônia
2011,8,0,Rondônia
2011,9,0,Rondônia
2011,10,0,Rondônia
2011,11,0,Rondônia
2011,12,0,Rondônia
2011,13,0,Rondônia
2011,14,0,Rondônia
2011,15,0,Rondônia
2011,16,0,Rondônia
2011,17,1,Rondônia
2011,18,0,Rondônia
2011,19,0,Rondônia
2011,20,0,Rondônia
2011,21,0,Rondônia
2011,22,0,Rondônia
2011,23,0,Rondônia
2011,24,0,Rondônia
2011,25,0,Rondônia
2011,26,0,Rondônia
2011,27,0,Rondônia
2011,28,0,Rondônia
2011,29,0,Rondônia
2011,30,0,Rondônia
2011,31,0,Rondônia
2011,32,0,Rondônia
2011,33,1,Rondônia
2011,34,1,Rondônia
2011,35,0,Rondônia
2011,36,1,Rondônia
2011,37,0,Rondônia
2011,38,0,Rondônia
2011,39,0,Rondônia
2011,40,1,Rondônia
2011,41,0,Rondônia
2011,42,0,Rondônia
2011,43,0,Rondônia
2011,44,0,Rondônia
2011,45,1,Rondônia
2011,46,0,Rondônia
2011,47,1,Rondônia
2011,48,0,Rondônia
2011,49,0,Rondônia
2011,50,0,Rondônia
2011,51,0,Rondônia
2011,52,0,Rondônia
2011,1,0,Acre
2011,2,0,Acre
2011,3,0,Acre
2011,4,0,Acre
2011,5,0,Acre
2011,6,0,Acre
2011,7,0,Acre
2011,8,0,Acre
2011,9,0,Acre
2011,10,0,Acre
2011,11,0,Acre
2011,12,0,Acre
2011,13,0,Acre
2011,14,0,Acre
2011,15,0,Acre
2011,16,0,Acre
2011,17,0,Acre
2011,18,0,Acre
2011,19,0,Acre
2011,20,0,Acre
2011,21,0,Acre
2011,22,0,Acre
2011,23,3,Acre
2011,24,2,Acre
2011,25,0,Acre
2011,26,0,Acre
2011,27,3,Acre
2011,28,1,Acre
2011,29,1,Acre
2011,30,0,Acre
2011,31,0,Acre
2011,32,1,Acre
2011,33,6,Acre
2011,34,4,Acre
2011,35,2,Acre
2011,36,1,Acre
2011,37,0,Acre
2011,38,1,Acre
2011,39,0,Acre
2011,40,0,Acre
2011,41,0,Acre
2011,42,0,Acre
2011,43,0,Acre
2011,44,0,Acre
2011,45,0,Acre
2011,46,0,Acre
2011,47,0,Acre
2011,48,0,Acre
2011,49,0,Acre
2011,50,0,Acre
2011,51,0,Acre
2011,52,0,Acre
2011,1,0,Amazonas
2011,2,0,Amazonas
2011,3,0,Amazonas
2011,4,0,Amazonas
2011,5,0,Amazonas
2011,6,0,Amazonas
2011,7,0,Amazonas
2011,8,0,Amazonas
2011,9,0,Amazonas
2011,10,0,Amazonas
2011,11,0,Amazonas
2011,12,0,Amazonas
2011,13,0,Amazonas
2011,14,0,Amazonas
2011,15,0,Amazonas
2011,16,0,Amazonas
2011,17,0,Amazonas
2011,18,1,Amazonas
2011,19,0,Amazonas
2011,20,0,Amazonas
2011,21,0,Amazonas
2011,22,0,Amazonas
2011,23,0,Amazonas
2011,24,0,Amazonas
2011,25,0,Amazonas
2011,26,0,Amazonas
2011,27,0,Amazonas
2011,28,0,Amazonas
2011,29,0,Amazonas
2011,30,0,Amazonas
2011,31,0,Amazonas
2011,32,0,Amazonas
2011,33,0,Amazonas
2011,34,0,Amazonas
2011,35,1,Amazonas
2011,36,0,Amazonas
2011,37,0,Amazonas
2011,38,0,Amazonas
2011,39,0,Amazonas
2011,40,0,Amazonas
2011,41,0,Amazonas
2011,42,0,Amazonas
2011,43,0,Amazonas
2011,44,0,Amazonas
2011,45,1,Amazonas
2011,46,0,Amazonas
2011,47,0,Amazonas
2011,48,0,Amazonas
2011,49,0,Amazonas
2011,50,0,Amazonas
2011,51,0,Amazonas
2011,52,0,Amazonas
2011,1,0,Roraima
2011,2,0,Roraima
2011,3,0,Roraima
2011,4,0,Roraima
2011,5,0,Roraima
2011,6,0,Roraima
2011,7,0,Roraima
2011,8,0,Roraima
2011,9,0,Roraima
2011,10,0,Roraima
2011,11,0,Roraima
2011,12,0,Roraima
2011,13,0,Roraima
2011,14,0,Roraima
2011,15,0,Roraima
2011,16,0,Roraima
2011,17,0,Roraima
2011,18,0,Roraima
2011,19,0,Roraima
2011,20,0,Roraima
2011,21,0,Roraima
2011,22,0,Roraima
2011,23,0,Roraima
2011,24,0,Roraima
2011,25,0,Roraima
2011,26,0,Roraima
2011,27,0,Roraima
2011,28,0,Roraima
2011,29,0,Roraima
2011,30,0,Roraima
2011,31,0,Roraima
2011,32,0,Roraima
2011,33,0,Roraima
2011,34,0,Roraima
2011,35,0,Roraima
2011,36,0,Roraima
2011,37,0,Roraima
2011,38,0,Roraima
2011,39,0,Roraima
2011,40,0,Roraima
2011,41,0,Roraima
2011,42,0,Roraima
2011,43,0,Roraima
2011,44,0,Roraima
2011,45,0,Roraima
2011,46,0,Roraima
2011,47,0,Roraima
2011,48,0,Roraima
2011,49,0,Roraima
2011,50,0,Roraima
2011,51,0,Roraima
2011,52,0,Roraima
2011,1,0,Pará
2011,2,1,Pará
2011,3,1,Pará
2011,4,1,Pará
2011,5,0,Pará
2011,6,0,Pará
2011,7,1,Pará
2011,8,0,Pará
2011,9,0,Pará
2011,10,1,Pará
2011,11,1,Pará
2011,12,0,Pará
2011,13,2,Pará
2011,14,1,Pará
2011,15,0,Pará
2011,16,2,Pará
2011,17,1,Pará
2011,18,1,Pará
2011,19,0,Pará
2011,20,0,Pará
2011,21,1,Pará
2011,22,0,Pará
2011,23,1,Pará
2011,24,0,Pará
2011,25,2,Pará
2011,26,2,Pará
2011,27,1,Pará
2011,28,0,Pará
2011,29,1,Pará
2011,30,0,Pará
2011,31,0,Pará
2011,32,1,Pará
2011,33,1,Pará
2011,34,0,Pará
2011,35,0,Pará
2011,36,1,Pará
2011,37,1,Pará
2011,38,0,Pará
2011,39,1,Pará
2011,40,0,Pará
2011,41,0,Pará
2011,42,0,Pará
2011,43,0,Pará
2011,44,0,Pará
2011,45,0,Pará
2011,46,0,Pará
2011,47,0,Pará
2011,48,0,Pará
2011,49,0,Pará
2011,50,1,Pará
2011,51,0,Pará
2011,52,0,Pará
2011,1,0,Amapá
2011,2,0,Amapá
2011,3,0,Amapá
2011,4,0,Amapá
2011,5,0,Amapá
2011,6,0,Amapá
2011,7,0,Amapá
2011,8,0,Amapá
2011,9,0,Amapá
2011,10,0,Amapá
2011,11,0,Amapá
2011,12,0,Amapá
2011,13,0,Amapá
2011,14,0,Amapá
2011,15,1,Amapá
2011,16,0,Amapá
2011,17,0,Amapá
2011,18,0,Amapá
2011,19,0,Amapá
2011,20,0,Amapá
2011,21,0,Amapá
2011,22,0,Amapá
2011,23,0,Amapá
2011,24,0,Amapá
2011,25,0,Amapá
2011,26,0,Amapá
2011,27,0,Amapá
2011,28,0,Amapá
2011,29,0,Amapá
2011,30,0,Amapá
2011,31,0,Amapá
2011,32,0,Amapá
2011,33,0,Amapá
2011,34,0,Amapá
2011,35,0,Amapá
2011,36,0,Amapá
2011,37,0,Amapá
2011,38,0,Amapá
2011,39,0,Amapá
2011,40,0,Amapá
2011,41,0,Amapá
2011,42,0,Amapá
2011,43,0,Amapá
2011,44,0,Amapá
2011,45,0,Amapá
2011,46,0,Amapá
2011,47,0,Amapá
2011,48,0,Amapá
2011,49,0,Amapá
2011,50,0,Amapá
2011,51,0,Amapá
2011,52,0,Amapá
2011,1,0,Tocantins
2011,2,0,Tocantins
2011,3,0,Tocantins
2011,4,0,Tocantins
2011,5,0,Tocantins
2011,6,0,Tocantins
2011,7,1,Tocantins
2011,8,0,Tocantins
2011,9,0,Tocantins
2011,10,0,Tocantins
2011,11,0,Tocantins
2011,12,0,Tocantins
2011,13,0,Tocantins
2011,14,1,Tocantins
2011,15,0,Tocantins
2011,16,0,Tocantins
2011,17,0,Tocantins
2011,18,0,Tocantins
2011,19,1,Tocantins
2011,20,0,Tocantins
2011,21,1,Tocantins
2011,22,0,Tocantins
2011,23,0,Tocantins
2011,24,0,Tocantins
2011,25,0,Tocantins
2011,26,0,Tocantins
2011,27,0,Tocantins
2011,28,0,Tocantins
2011,29,0,Tocantins
2011,30,0,Tocantins
2011,31,0,Tocantins
2011,32,0,Tocantins
2011,33,0,Tocantins
2011,34,0,Tocantins
2011,35,0,Tocantins
2011,36,0,Tocantins
2011,37,0,Tocantins
2011,38,0,Tocantins
2011,39,2,Tocantins
2011,40,0,Tocantins
2011,41,0,Tocantins
2011,42,0,Tocantins
2011,43,1,Tocantins
2011,44,0,Tocantins
2011,45,0,Tocantins
2011,46,0,Tocantins
2011,47,1,Tocantins
2011,48,0,Tocantins
2011,49,0,Tocantins
2011,50,0,Tocantins
2011,51,0,Tocantins
2011,52,0,Tocantins
2011,1,0,Maranhão
2011,2,0,Maranhão
2011,3,0,Maranhão
2011,4,0,Maranhão
2011,5,0,Maranhão
2011,6,0,Maranhão
2011,7,0,Maranhão
2011,8,0,Maranhão
2011,9,1,Maranhão
2011,10,0,Maranhão
2011,11,0,Maranhão
2011,12,0,Maranhão
2011,13,0,Maranhão
2011,14,0,Maranhão
2011,15,0,Maranhão
2011,16,0,Maranhão
2011,17,0,Maranhão
2011,18,0,Maranhão
2011,19,0,Maranhão
2011,20,0,Maranhão
2011,21,0,Maranhão
2011,22,0,Maranhão
2011,23,0,Maranhão
2011,24,0,Maranhão
2011,25,0,Maranhão
2011,26,0,Maranhão
2011,27,0,Maranhão
2011,28,0,Maranhão
2011,29,0,Maranhão
2011,30,0,Maranhão
2011,31,1,Maranhão
2011,32,0,Maranhão
2011,33,1,Maranhão
